ProductID,Name,Core,RAM,SSD,Screen
128,Xiaomi Redmi 14C,NULL,NULL,NULL,"HD+ 6.88 """""
129,Xiaomi Redmi A3,NULL,NULL,NULL,"HD+ 6.71"""""
130,Xiaomi Redmi Note 13,NULL,NULL,NULL,"Full HD+ 6.67"""""
131,Xiaomi Redmi Note 13 Pro,NULL,NULL,NULL,"Full HD+ 6.67"""""
132,Xiaomi Redmi Note 13 Pro 5G,NULL,NULL,NULL,"1.5K 6.67"""""
133,iPhone 11,NULL,NULL,NULL,"Liquid Retina 6.1"""""
134,iPhone 12,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
135,iPhone 13,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
136,iPhone 14,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
137,iPhone 14 Plus,NULL,NULL,NULL,"Super Retina XDR 6.7"""""
138,iPhone 15,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
139,iPhone 15 Plus,NULL,NULL,NULL,"Super Retina XDR 6.7"""""
140,iPhone 15 Pro,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
141,iPhone 15 Pro Max,NULL,NULL,NULL,"Super Retina XDR 6.7"""""
142,iPhone 16,NULL,NULL,NULL,"Super Retina XDR 6.1"""""
143,iPhone 16 Plus,NULL,NULL,NULL,"Super Retina XDR 6.7"""""
144,iPhone 16 Pro,NULL,NULL,NULL,"Super Retina XDR 6.3"""""
145,iPhone 16 Pro Max,NULL,NULL,NULL,"Super Retina XDR 6.9"""""
146,realme 12,NULL,NULL,NULL,"Full HD+ 6.67"""""
147,realme 13+ 5GMẫu mới,NULL,NULL,NULL,"Full HD+ 6.67"""""
148,realme C53 8GB/256GB,NULL,NULL,NULL,"HD+ 6.74"""""
149,realme C60 4GB/64GB,NULL,NULL,NULL,"HD+ 6.74"""""
150,realme C61,NULL,NULL,NULL,"HD+ 6.745 """""
151,realme C65,NULL,NULL,NULL,"HD+ 6.67"""""
152,realme C65s,NULL,NULL,NULL,"HD+ 6.745 """""
153,realme C67,NULL,NULL,NULL,"Full HD+ 6.72"""""
154,realme Note 50,NULL,NULL,NULL,"HD+ 6.74"""""
155,realme Note 60,NULL,NULL,NULL,"HD+ 6.745 """""
156,vivo V30 5G 12GB/512GB,NULL,NULL,NULL,"1.5K 6.78"""""
157,vivo V30e 5G,NULL,NULL,NULL,"Full HD+ 6.78"""""
158,vivo V40 Lite 8GB/256GBMẫu mới,NULL,NULL,NULL,"Full HD+ 6.67"""""
159,vivo Y03,NULL,NULL,NULL,"HD+ 6.56"""""
160,vivo Y03T 4GB/128GB,NULL,NULL,NULL,"HD+ 6.56"""""
161,vivo Y100,NULL,NULL,NULL,"Full HD+ 6.67"""""
162,vivo Y18,NULL,NULL,NULL,"HD+ 6.56"""""
163,vivo Y19sMẫu mới,NULL,NULL,NULL,"HD+ 6.68 """""
164,vivo Y28,NULL,NULL,NULL,"HD+ 6.68 """""
165,vivo Y36 8GB/256GB,NULL,NULL,NULL,"Full HD+ 6.64"""""
