ID,Name,ProductType,BrandID,OldPrice,CurrentPrice,DiscountPercent,GiftValue,ProductLink
70,OPPO A18 4GB/64GB,Laptop,9,,3290000.0,,100000.0,https://www.thegioididong.com/dtdd/oppo-a18
71,OPPO A3,Laptop,9,,4990000.0,,100000.0,https://www.thegioididong.com/dtdd/oppo-a3-6gb-128gb
72,OPPO A38,Laptop,9,,4490000.0,,100000.0,https://www.thegioididong.com/dtdd/oppo-a38-6gb
73,OPPO A3x,Laptop,9,,3490000.0,,100000.0,https://www.thegioididong.com/dtdd/oppo-a3x-4gb-64gb
74,OPPO A58,Laptop,9,,5490000.0,,,https://www.thegioididong.com/dtdd/oppo-a58-4g
75,OPPO A60,Laptop,9,,5490000.0,,200000.0,https://www.thegioididong.com/dtdd/oppo-a60-128gb
76,OPPO A78 8GB/256GB,Laptop,9,,6990000.0,,,https://www.thegioididong.com/dtdd/oppo-a78
77,OPPO A79 5G 8GB/256GB,Laptop,9,,7490000.0,,,https://www.thegioididong.com/dtdd/oppo-a79-5g
78,OPPO Find N3 5G 16GB/512GB,Laptop,9,44990000.0,41990000.0,6.67,,https://www.thegioididong.com/dtdd/oppo-find-n3
79,OPPO Find N3 Flip 5G 12GB/256GB Đen/Vàng đồng,Laptop,9,,22990000.0,,,https://www.thegioididong.com/dtdd/oppo-find-n3-flip
80,OPPO Find X8,Laptop,9,,,,,https://www.thegioididong.com/dtdd/oppo-find-x8
81,OPPO Find X8 Pro,Laptop,9,,,,,https://www.thegioididong.com/dtdd/oppo-find-x8-pro
82,OPPO Reno10 Pro+ 5G 12GB/256GB,Laptop,9,,19990000.0,,,https://www.thegioididong.com/dtdd/oppo-reno10-pro-plus
83,OPPO Reno11 Pro 5G 12GB/512GB,Laptop,9,16990000.0,11990000.0,29.43,,https://www.thegioididong.com/dtdd/oppo-reno11-pro?utm_flashsale=1
84,OPPO Reno12 5G,Laptop,9,,12990000.0,,500000.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb
85,OPPO Reno12 5G 12GB/256GB Hồng,Laptop,9,,12990000.0,,500000.0,https://www.thegioididong.com/dtdd/oppo-reno12-5g-12gb-256gb-hong
86,OPPO Reno12 F 5G,Laptop,9,,9990000.0,,300000.0,https://www.thegioididong.com/dtdd/oppo-reno12-f-5g-12gb-256gb
87,OPPO Reno12 F 8GB/256GB,Laptop,9,,8490000.0,,300000.0,https://www.thegioididong.com/dtdd/oppo-reno12-f-4g-8gb-256gb
88,OPPO Reno12 Pro 5G 12GB/512GB,Laptop,9,,18990000.0,,500000.0,https://www.thegioididong.com/dtdd/oppo-reno12-pro
89,Samsung Galaxy ,Laptop,10,,8790000.0,,550000.0,https://www.thegioididong.com/dtdd/samsung-galaxy-m35-5g
90,Samsung Galaxy ,Laptop,10,8990000.0,7990000.0,11.12,,https://www.thegioididong.com/dtdd/samsung-galaxy-m54?utm_flashsale=1
91,Samsung Galaxy ,Laptop,10,11190000.0,10190000.0,8.94,,https://www.thegioididong.com/dtdd/samsung-galaxy-m55-5g-12gb-256gb
92,Samsung Galaxy ,Laptop,10,,4690000.0,,,https://www.thegioididong.com/dtdd/samsung-galaxy-m15-5g-4gb
93,Samsung Galaxy A05s,Laptop,10,4490000.0,4090000.0,8.91,,https://www.thegioididong.com/dtdd/samsung-galaxy-a05s-6gb
94,Samsung Galaxy A06,Laptop,10,,3190000.0,,550000.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a06-4gb-64gb
95,Samsung Galaxy A15,Laptop,10,5590000.0,4990000.0,10.73,,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-256gb
96,Samsung Galaxy A15 5G 8GB/256GB,Laptop,10,6290000.0,5390000.0,14.31,,https://www.thegioididong.com/dtdd/samsung-galaxy-a15-5g
97,Samsung Galaxy A16 5GMẫu mới,Laptop,10,,6990000.0,,550000.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-5g
98,Samsung Galaxy A16Mẫu mới,Laptop,10,,5890000.0,,550000.0,https://www.thegioididong.com/dtdd/samsung-galaxy-a16-8gb-128gb
99,Samsung Galaxy A25 5G,Laptop,10,6990000.0,6490000.0,7.15,,https://www.thegioididong.com/dtdd/samsung-galaxy-a25-8gb
100,Samsung Galaxy A35 5G,Laptop,10,9290000.0,8790000.0,5.38,,https://www.thegioididong.com/dtdd/samsung-galaxy-a35-5g
101,Samsung Galaxy A55 5G,Laptop,10,11990000.0,11490000.0,4.17,,https://www.thegioididong.com/dtdd/samsung-galaxy-a55-5g
102,Samsung Galaxy S23 ,Laptop,10,24990000.0,20990000.0,16.01,,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-ultra?utm_flashsale=1
103,Samsung Galaxy S23 FE 5G,Laptop,10,14890000.0,10890000.0,26.86,,https://www.thegioididong.com/dtdd/samsung-galaxy-s23-fe
104,Samsung Galaxy S24 ,Laptop,10,33990000.0,29990000.0,11.77,,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-ultra-5g
105,Samsung Galaxy S24 5G,Laptop,10,22990000.0,17990000.0,21.75,,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-256gb-5g
106,Samsung Galaxy S24 FE 5G,Laptop,10,,16990000.0,,,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe
107,Samsung Galaxy S24+ 5G,Laptop,10,26990000.0,23990000.0,11.12,,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-plus-5g
108,Samsung Galaxy Tab S9 5G 12GB/256GB,Laptop,10,24990000.0,19990000.0,20.01,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-256gb
109,Samsung Galaxy Tab S9 5G 8GB/128GB,Laptop,10,22990000.0,16990000.0,26.1,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-5g-128gb
110,Samsung Galaxy Tab S9 WiFi 12GB/256GB,Laptop,10,21990000.0,17990000.0,18.19,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9-wifi-256gb
111,Samsung Galaxy Tab S9 WiFi 8GB/128GB,Laptop,10,19990000.0,14490000.0,27.51,,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s9
112,Samsung Galaxy Z Flip6 5G,Laptop,10,28990000.0,26990000.0,6.9,,https://www.thegioididong.com/dtdd/samsung-galaxy-z-flip6
113,Samsung Galaxy Z Fold6 5G,Laptop,10,43990000.0,41990000.0,4.55,4990000.0,https://www.thegioididong.com/dtdd/samsung-galaxy-z-fold6
114,TCL 406s 4GB/64GB,Laptop,11,,2190000.0,,,https://www.thegioididong.com/dtdd/tcl-406s
115,TCL Tab 10 Gen 2 4G 4GB/64GB,Laptop,11,3790000.0,3090000.0,18.47,,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10-gen-2
116,TCL Tab 10L Gen 2 WiFi 3GB/32GB,Laptop,11,2290000.0,1990000.0,13.1,,https://www.thegioididong.com/may-tinh-bang/tcl-tab-10l-gen-2
117,Tecno Spark 20C 8GB/128GB,Laptop,12,3190000.0,2490000.0,21.94,,https://www.thegioididong.com/dtdd/tecno-spark-20c
118,Tecno Spark GO 1 3GB/64GBMẫu mới,Laptop,12,2190000.0,1990000.0,9.13,,https://www.thegioididong.com/dtdd/tecno-spark-go-1
119,Tecno Spark Go 2024 3GB/64GB,Laptop,12,,1890000.0,,,https://www.thegioididong.com/dtdd/tecno-spark-go-2024
120,Viettel Sumo 4G T2Mẫu mới,Laptop,13,,550000.0,,,https://www.thegioididong.com/dtdd/viettel-sumo-4g-t2
121,Xiaomi 14 ,Laptop,14,32990000.0,29990000.0,9.09,,https://www.thegioididong.com/dtdd/xiaomi-14-ultra
122,Xiaomi 14 5G,Laptop,14,24490000.0,21490000.0,12.25,,https://www.thegioididong.com/dtdd/xiaomi-14
