name,brand,ram,ssd,old_price,current_price,gift,total_rating,avg_score,link
HP Gaming VICTUS 16 s0138AX R7 7840HS (9Q985PA),HP,RAM 32 GB,SSD 512 GB,41.390.000₫,35.990.000₫,Quà4.080.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-s0138ax-r7-9q985pa
HP Envy X360 14 fc0083TU Ultra 7 155U (A19BSPA),HP,RAM 32 GB,SSD 1 TB,36.590.000₫,35.090.000₫,Quà4.920.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0083tu-ultra-7-a19bspa
Asus TUF Gaming F15 FX507VV i7 13620H (LP171W),Asus,RAM 32 GB,SSD 1 TB,37.990.000₫,33.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-tuf-gaming-f15-fx507vv-i7-lp171w
MacBook Air 13 inch M3,MacBook,RAM 8 GB,SSD 512 GB,,32.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024-512gb
MacBook Air 13 inch M3,MacBook,RAM 16 GB,SSD 256 GB,,32.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024-16gb-256gb
HP VICTUS 16 r0127TX i7 13700H (8C5N2PA),HP,RAM 16 GB,SSD 512 GB,38.390.000₫,32.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-r0127tx-i7-8c5n2pa
MSI Gaming Sword 16 HX B14VEKG i7 14700HX (039VN),MSI,RAM 16 GB,SSD 1 TB,34.990.000₫,32.490.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/laptop/msi-gaming-sword-16-hx-b14vekg-i7-039vn
Asus Gaming ROG Strix G16 G614JU i5 13450HX (N3135W),Asus,RAM 8 GB,SSD 512 GB,37.990.000₫,31.990.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/asus-gaming-rog-strix-g16-g614ju-i5-n3135w
HP Envy x360 14 fc0089TU Ultra 7 155U (A19BZPA),HP,RAM 16 GB,SSD 512 GB,33.490.000₫,31.990.000₫,Quà4.920.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-envy-x360-14-fc0089tu-ultra-7-a19bzpa
MacBook Air 15 inch M2,MacBook,RAM 8 GB,SSD 512 GB,37.990.000₫,31.690.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/laptop/apple-macbook-air-15-inch-m2-2023
Lenovo Gaming Legion 5 16IRH8 i5 13500H (82YA00BSVN),Lenovo,RAM 16 GB,SSD 512 GB,36.990.000₫,31.490.000₫,Quà1.090.000₫,0,0.0,https://www.thegioididong.com/laptop/lenovo-legion-5-16irh8-i5-82ya00bsvn
Dell Inspiron 16 5640 Core 7 150U (N6I7512W1),Dell,RAM 16 GB,SSD 1 TB,33.690.000₫,31.490.000₫,Quà100.000₫,0,0.0,https://www.thegioididong.com/laptop/dell-inspiron-16-5640-core-7-n6i7512w1
HP Envy X360 14 fa0048AU R7 8840HS (A19BQPA),HP,RAM 16 GB,SSD 512 GB,31.690.000₫,30.090.000₫,Quà4.920.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-envy-x360-14-fa0048au-r7-a19bqpa
HP Gaming VICTUS 16 s0140AX R7 7840HS (9Q987PA),HP,RAM 32 GB,SSD 512 GB,35.890.000₫,30.490.000₫,Quà4.080.000₫,0,0.0,https://www.thegioididong.com/laptop/hp-victus-16-s0140ax-r7-9q987pa
