name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
HONOR X8b 8GB/512GB,HONOR,"Full HD+ 6.7""",7.690.000₫,6.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/honor-x8b
Tecno Spark 20C 8GB/128GB,Tecno,"HD+ 6.56""",3.190.000₫,2.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tecno-spark-20c
Nokia 3210 4G,Nokia,"QVGA 2.4""",,1.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-3210-4g
Xiaomi 14T 5G 12GB/512GB XanhMẫu mới,Xiaomi,"1.5K 6.67""",,13.990.000₫,Quà1.000.000₫,0,0.0,https://www.thegioididong.com/dtdd/xiaomi-14t-5g-12gb-512gb-xanh
vivo V30e 5G,vivo,"Full HD+ 6.78""",,10.490.000₫,Quà1.000.000₫,0,0.0,https://www.thegioididong.com/dtdd/vivo-v30e-12gb
HONOR X6b,HONOR,"HD+ 6.56""",3.990.000₫,3.790.000₫,Quà599.000₫,0,0.0,https://www.thegioididong.com/dtdd/honor-x6b-6gb-128gb
OPPO A58,OPPO,"Full HD+ 6.72""",,5.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/oppo-a58-4g
HONOR X7c 8GB/256GBMẫu mới,HONOR,"HD+ 6.77 """,,5.490.000₫,Quà990.000₫,0,0.0,https://www.thegioididong.com/dtdd/honor-x7c
vivo V30 5G 12GB/512GB,vivo,"1.5K 6.78""",13.990.000₫,12.990.000₫,Quà500.000₫,0,0.0,https://www.thegioididong.com/dtdd/vivo-v30
Itel it9211,Itel,"2.4""",,490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/itel-it9211
Itel it9310,Itel,"3""",,650.000₫,,0,0.0,https://www.thegioididong.com/dtdd/itel-it9310
realme 12,realme,"Full HD+ 6.67""",,7.990.000₫,Quà200.000₫,0,0.0,https://www.thegioididong.com/dtdd/realme-12
Samsung Galaxy S24 FE 5G,Samsung,"Full HD+ 6.7""",,16.990.000₫,,0,0.0,https://www.thegioididong.com/dtdd/samsung-galaxy-s24-fe
