name,brand,screen,old_price,current_price,gift,total_rating,avg_score,link
realme C60 4GB/64GB,realme,"6.74"" HD+",,2.790.000₫,,0,0.0,https://www.thegioididong.com/dtdd/realme-c60
TCL 505 4GB/128GB,TCL,"6.75"" HD+",2.690.000₫,2.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/tcl-505
HONOR X5 Plus 4GB/64GB,HONOR,"6.56"" HD+",,2.490.000₫,,0,0.0,https://www.thegioididong.com/dtdd/honor-x5-plus
TCL 406s 4GB/64GB,TCL,"6.6"" HD+",,1.990.000₫,,5,4.0,https://www.thegioididong.com/dtdd/tcl-406s
Tecno Spark Go 2024 3GB/64GB,Tecno,"6.56"" HD+",,1.890.000₫,,12,4.0,https://www.thegioididong.com/dtdd/tecno-spark-go-2024
Nokia 3210 4G,Nokia,"2.4"" QVGA",,1.590.000₫,,0,0.0,https://www.thegioididong.com/dtdd/nokia-3210-4g
Nokia 220 4G,Nokia,"2.8"" QVGA",,990.000₫,,3,5.0,https://www.thegioididong.com/dtdd/nokia-220-4g
Nokia 215 4G,Nokia,"2.4"" QVGA",990.000₫,890.000₫,,343,3.0,https://www.thegioididong.com/dtdd/nokia-215
Nokia 110 4G Pro,Nokia,"1.77"" QQVGA",,720.000₫,,9,4.0,https://www.thegioididong.com/dtdd/nokia-110-4g-pro
Mobell F309 4G,Mobell,"2.31"" QVGA",760.000₫,700.000₫,,53,4.0,https://www.thegioididong.com/dtdd/mobell-f309
Masstel Fami 60S 4G,Masstel,"2"" QVGA",,700.000₫,,0,0.0,https://www.thegioididong.com/dtdd/masstel-fami-60s
Nokia 105 4G Pro,Nokia,"1.77"" QQVGA",,680.000₫,,13,4.0,https://www.thegioididong.com/dtdd/nokia-105-4g-pro
Mobell Rock 4 4G,Mobell,"2.4"" QVGA",790.000₫,670.000₫,,98,4.0,https://www.thegioididong.com/dtdd/mobell-rock-4
Mobell M539 4G,Mobell,"2.8"" QVGA",700.000₫,650.000₫,,99,4.0,https://www.thegioididong.com/dtdd/mobell-m539
Nokia 105,Nokia,"1.8"" QQVGA",820.000₫,610.000₫,,346,4.0,https://www.thegioididong.com/dtdd/nokia-105-4g
Mobell F209 4G,Mobell,"2"" QVGA",620.000₫,570.000₫,,44,4.0,https://www.thegioididong.com/dtdd/mobell-f209
Itel it9210,Itel,"2.4"" QVGA",,550.000₫,,142,4.0,https://www.thegioididong.com/dtdd/itel-it9210
Mobell M331 4G,Mobell,"2.4"" QVGA",550.000₫,490.000₫,,15,4.0,https://www.thegioididong.com/dtdd/mobell-m331
Itel it9010,Itel,"1.77"" QQVGA",,420.000₫,,88,4.0,https://www.thegioididong.com/dtdd/itel-it9010
Mobell M239,Mobell,"1.77"" QQVGA",500.000₫,400.000₫,,166,4.0,https://www.thegioididong.com/dtdd/mobell-m239
HONOR 90 12GB/256GB,HONOR,"1.5K 6.7""",,,,0,0.0,https://www.thegioididong.com/dtdd/honor-90
HONOR X6a 4GB/128GB,HONOR,"HD+ 6.56""",,,,0,0.0,https://www.thegioididong.com/dtdd/honor-x6a
